coder,0,0,2895
coder,17830,0,2908
coder,18034,0,3527
profiler,5547,0,1142
sketch,7775,0,1624
feature_extractor,6689,0,583
designer,14878,0,2163
coder,13527,0,2877
coder,18103,0,2854
profiler,5390,0,268
sketch,7743,0,1910
feature_extractor,6657,0,558
designer,4714,0,1635
coder,13055,0,3427
coder,17197,0,2858
coder,0,0,2879
coder,17628,0,4077
coder,17925,0,3317
coder,17946,0,3382
profiler,6125,0,977
sketch,8350,0,1633
feature_extractor,7262,0,594
designer,10951,0,2282
coder,13692,0,3160
coder,18471,0,2924
coder,18220,0,4008
profiler,0,0,327
sketch,7830,0,1645
feature_extractor,6868,0,2639
designer,15781,0,1527
coder,12934,0,2544
profiler,5224,0,925
sketch,7444,0,1311
feature_extractor,6356,0,552
designer,14399,0,1412
coder,12883,0,3318
profiler,4943,0,266
sketch,7293,0,1102
feature_extractor,6331,0,1863
designer,14744,0,1757
coder,12618,0,2384
profiler,4933,0,237
sketch,7283,0,1119
feature_extractor,6195,0,731
designer,13304,0,1528
coder,12887,0,2885
coder,17441,0,2929
profiler,5541,0,445
sketch,7886,0,1520
feature_extractor,6798,0,692
designer,14177,0,1433
coder,12811,0,2353
profiler,4916,0,293
sketch,7392,0,2720
feature_extractor,6178,0,482
designer,13124,0,1357
coder,12838,0,2996
profiler,4888,0,326
sketch,0,0,1279
feature_extractor,6276,0,1529
designer,13322,0,1368
coder,12875,0,3026
profiler,4887,0,293
sketch,7232,0,1327
feature_extractor,6144,0,467
designer,14856,0,1815
coder,0,0,2663
coder,17488,0,2767
coder,17678,0,3884
coder,17819,0,2793
coder,17607,0,2727
coder,17587,0,2756
coder,17773,0,2749
coder,0,0,2830
designer,4740,0,1616
coder,13102,0,3664
profiler,9644,0,235
sketch,7877,0,1672
feature_extractor,6787,0,705
designer,10385,0,2301
coder,13693,0,2809
designer,4398,0,1486
coder,0,0,2215
coder,16265,0,2321
coder,16632,0,3708
coder,16267,0,2637
coder,16396,0,2641
coder,16479,0,2639
coder,0,0,2661
coder,16847,0,2701
designer,4569,0,1716
coder,12725,0,2370
coder,16862,0,2571
coder,17099,0,3226
coder,17082,0,2643
coder,17106,0,2643
coder,17104,0,2663
coder,17197,0,2663
coder,17107,0,2663
designer,4569,0,1620
coder,12650,0,2447
coder,0,0,2462
coder,16908,0,2417
coder,16460,0,3689
coder,17046,0,3103
coder,0,0,2524
coder,16483,0,2671
coder,16707,0,2833
designer,4569,0,1620
coder,12649,0,2379
coder,16468,0,3244
coder,16909,0,2529
coder,17090,0,2622
coder,16706,0,2622
coder,16638,0,2622
coder,17102,0,2622
coder,16619,0,2636
designer,0,0,1606
coder,0,0,2310
coder,16213,0,2323
coder,0,0,2323
coder,16389,0,2325
coder,0,0,2323
coder,0,0,2323
coder,16490,0,3101
coder,17119,0,3120
designer,0,0,1620
coder,12775,0,3610
coder,17218,0,2461
